Best for Generation 1
add(sqrt(current_visit_count), 3.072209161955104);(2224.0,)
sqrt(mul(mul(mul(1.6627210868101228, current_visit_count), truediv(current_visit_count, 3.956975266658519)), 1.3467415789748398));(2224.0,)
truediv(sqrt(mul(1.6627210868101228, current_visit_count)), 7.039950961180634);(2224.0,)
truediv(1.8137128805396445, truediv(4.923355222581765, child_visit_count));(2224.0,)
mul(3.331844867578772, mul(9.47926852357586, truediv(current_visit_count, 3.072209161955104)));(2224.0,)
mul(mul(mul(truediv(3.015514965959906, mul(child_win_score, 1.6627210868101228)), 3.961507498117342), add(1.3467415789748398, sqrt(truediv(current_visit_count, child_visit_count)))), sqrt(sqrt(add(add(9.093330509928172, current_visit_count), truediv(current_visit_count, 4.923355222581765)))));(2198.8000000000002,)
add(truediv(total_number_of_available_moves, current_visit_count), 0.8904333448622792);(2184.0,)
sqrt(truediv(0.967903335719947, truediv(mul(1.4805422989013817, current_visit_count), truediv(total_number_of_available_moves, 1.4805422989013817))));(2184.0,)
truediv(mul(total_number_of_available_moves, 7.316343915794761), 0.17616427654347572);(2184.0,)
mul(0.8313305470350564, add(3.2895544130354146, total_number_of_available_moves));(2184.0,)
add(mul(total_number_of_available_moves, 9.438469134800883), 2.2188634979605584);(2184.0,)
mul(1.7527718510847623, mul(total_number_of_available_moves, current_visit_count));(2184.0,)
mul(3.078842075127573, mul(total_number_of_available_moves, 7.316343915794761));(2184.0,)
sqrt(sqrt(mul(8.839981587767978, truediv(total_number_of_available_moves, 9.438469134800883))));(2184.0,)
add(0.5399913562290964, mul(add(sqrt(total_number_of_available_moves), 1.8489738809949832), 16.541902532966702));(2184.0,)
add(truediv(add(total_number_of_available_moves, 1.4805422989013817), truediv(4.923355222581765, child_visit_count)), 49.23031449757546);(2184.0,)
add(mul(total_number_of_available_moves, 9.47926852357586), 16.409674425722933);(2184.0,)
sqrt(add(add(115.42073454322791, mul(1.639295108399717, mul(1.4805422989013817, total_number_of_available_moves))), 5.045243033530869));(2184.0,)
add(1.244221884343318, sqrt(total_number_of_available_moves));(2184.0,)
truediv(truediv(add(add(total_number_of_available_moves, 9.438469134800883), 1.2894654267603), 0.6187356200302122), sqrt(mul(3.015514965959906, truediv(9.47926852357586, current_visit_count))));(2184.0,)
sqrt(mul(add(sqrt(add(sqrt(child_visit_count), 0.3741601094594737)), truediv(mul(truediv(9.47926852357586, current_visit_count), 3.015514965959906), 1.7527718510847623)), mul(add(13.4667592640598, mul(89.85653174205605, truediv(total_number_of_available_moves, 9.093330509928172))), mul(add(add(total_number_of_available_moves, 1.4805422989013817), 10.959810822477241), add(18.917737658376744, truediv(child_win_score, 9.438469134800883))))));(2166.4000000000001,)
add(truediv(truediv(child_win_score, 4.923355222581765), current_visit_count), add(4.923355222581765, total_number_of_available_moves));(2149.1999999999998,)
mul(mul(total_number_of_available_moves, child_visit_count), truediv(7.316343915794761, child_visit_count));(2144.4000000000001,)
add(truediv(total_number_of_available_moves, 1.639295108399717), add(28.950591917167408, child_visit_count));(2130.0,)
mul(add(sqrt(child_win_score), add(total_number_of_available_moves, 4.923355222581765)), mul(truediv(4.923355222581765, child_win_score), 3.078842075127573));(2113.5999999999999,)
mul(mul(sqrt(mul(sqrt(sqrt(child_visit_count)), add(mul(total_number_of_available_moves, 7.316343915794761), sqrt(child_visit_count)))), sqrt(truediv(add(19.66112651887229, add(child_win_score, 9.438469134800883)), mul(truediv(total_number_of_available_moves, child_win_score), mul(7.316343915794761, total_number_of_available_moves))))), sqrt(mul(add(sqrt(add(9.47926852357586, total_number_of_available_moves)), 2.3705898745815652), 8.16440954818727)));(2000.8,)
truediv(truediv(sqrt(add(add(add(child_win_score, 4.923355222581765), mul(child_visit_count, total_number_of_available_moves)), add(add(child_visit_count, child_win_score), sqrt(total_number_of_available_moves)))), add(add(mul(0.3741601094594737, mul(child_win_score, 3.2895544130354146)), mul(2.461728900297663, mul(9.093330509928172, current_visit_count))), 1.3177722931895892)), mul(truediv(sqrt(mul(add(9.438469134800883, child_win_score), mul(4.923355222581765, child_visit_count))), 1.181568553135862), 8.379353066042615));(1958.0,)
add(mul(mul(truediv(2.091736448799484, mul(add(total_number_of_available_moves, 3.956975266658519), 2.8692242017336316)), 9.583618652588479), add(sqrt(add(12.165039307146895, mul(child_win_score, child_win_score))), mul(add(2.9610845978027633, mul(4.923355222581765, current_visit_count)), mul(truediv(child_visit_count, child_win_score), truediv(total_number_of_available_moves, 3.956975266658519))))), add(add(add(mul(sqrt(child_win_score), 1.0424418768487869), truediv(2.7048741035018176, mul(total_number_of_available_moves, total_number_of_available_moves))), 0.9057154265002763), mul(sqrt(mul(3.078842075127573, add(9.093330509928172, current_visit_count))), add(mul(add(3.2895544130354146, current_visit_count), mul(3.2895544130354146, child_win_score)), 3.395584476720942))));(1833.2,)
sqrt(add(truediv(truediv(truediv(9.438469134800883, child_visit_count), add(total_number_of_available_moves, 3.956975266658519)), mul(truediv(child_win_score, 9.093330509928172), 0.36729936199716284)), truediv(mul(sqrt(child_visit_count), truediv(total_number_of_available_moves, 3.2895544130354146)), truediv(truediv(total_number_of_available_moves, 3.956975266658519), truediv(current_visit_count, 9.093330509928172)))));(1789.2,)
