Best for Generation 2
add(mul(add(add(truediv(child_win_score, 7.316343915794761), 29.913005508123796), truediv(mul(9.438469134800883, current_visit_count), sqrt(child_visit_count))), mul(3.256669821893244, mul(mul(child_visit_count, 7.316343915794761), 1.2167753691217544))), add(mul(add(13.436243790234379, add(9.438469134800883, total_number_of_available_moves)), 1.2803496039753037), mul(add(mul(current_visit_count, 4.923355222581765), sqrt(total_number_of_available_moves)), sqrt(mul(current_visit_count, 1.4805422989013817)))));(2687.5999999999999,)
add(mul(add(add(truediv(child_win_score, 7.316343915794761), 29.913005508123796), truediv(mul(1.4805422989013817, current_visit_count), sqrt(child_visit_count))), mul(3.256669821893244, mul(mul(child_visit_count, 7.316343915794761), 1.2167753691217544))), add(mul(add(child_visit_count, add(9.438469134800883, total_number_of_available_moves)), 1.2803496039753037), mul(add(mul(current_visit_count, 4.923355222581765), sqrt(total_number_of_available_moves)), sqrt(mul(current_visit_count, 1.4805422989013817)))));(2687.5999999999999,)
mul(add(sqrt(add(0.6714838238790006, truediv(mul(child_win_score, 3.956975266658519), 3.015514965959906))), add(mul(add(10.63353394061581, add(9.093330509928172, current_visit_count)), 0.2721801989621152), 220.56447665549564)), truediv(truediv(2.3605307303125453, sqrt(add(14.361824357382648, add(child_visit_count, 4.923355222581765)))), 0.5546543327961148));(2650.8000000000002,)
truediv(mul(add(0.8169156411501831, add(3.956975266658519, child_visit_count)), 15.687174425008214), sqrt(sqrt(mul(total_number_of_available_moves, 7.316343915794761))));(2583.1999999999998,)
truediv(mul(add(0.8169156411501831, add(3.956975266658519, child_visit_count)), 15.687174425008214), sqrt(sqrt(mul(total_number_of_available_moves, current_visit_count))));(2583.1999999999998,)
truediv(sqrt(mul(child_visit_count, total_number_of_available_moves)), add(child_win_score, child_visit_count));(2459.5999999999999,)
truediv(138.1639436833954, sqrt(sqrt(mul(total_number_of_available_moves, 4.923355222581765))));(2416.4000000000001,)
sqrt(truediv(3.956975266658519, total_number_of_available_moves));(2416.4000000000001,)
truediv(truediv(3.956975266658519, child_win_score), mul(3.078842075127573, truediv(child_visit_count, current_visit_count)));(2378.4000000000001,)
mul(truediv(child_win_score, child_win_score), 1.2894654267603);(2282.4000000000001,)
mul(46.468936307998725, truediv(8.880330489240285, sqrt(current_visit_count)));(2270.8000000000002,)
add(truediv(66.52993335062385, add(current_visit_count, 1.6627210868101228)), 0.2955230154110462);(2270.8000000000002,)
add(0.5458246116586422, sqrt(current_visit_count));(2270.8000000000002,)
sqrt(current_visit_count);(2270.8000000000002,)
sqrt(add(1.0, add(current_visit_count, 9.093330509928172)));(2270.8000000000002,)
truediv(truediv(3.956975266658519, current_visit_count), 22.525867484052533);(2270.8000000000002,)
mul(truediv(truediv(2.7048741035018176, add(total_number_of_available_moves, 9.438469134800883)), 35.77531061863462), mul(add(7.221519226527292, total_number_of_available_moves), 1.4895850086384994));(2234.4000000000001,)
sqrt(mul(total_number_of_available_moves, 13.436243790234379));(2234.4000000000001,)
add(sqrt(add(truediv(current_visit_count, 4.923355222581765), 3.015514965959906)), sqrt(add(truediv(add(mul(current_visit_count, 4.923355222581765), sqrt(total_number_of_available_moves)), 4.923355222581765), 46.669806191802145)));(2234.4000000000001,)
truediv(add(sqrt(child_win_score), 7.316343915794761), add(mul(1.6627210868101228, child_win_score), 7.316343915794761));(2220.0,)
add(sqrt(truediv(mul(7.316343915794761, sqrt(total_number_of_available_moves)), 13.050305776586692)), sqrt(add(truediv(child_visit_count, 4.923355222581765), 46.669806191802145)));(2206.0,)
mul(add(sqrt(add(0.6714838238790006, truediv(mul(child_win_score, 3.956975266658519), 3.015514965959906))), add(mul(add(10.63353394061581, add(9.093330509928172, current_visit_count)), 0.2721801989621152), 220.56447665549564)), truediv(truediv(sqrt(mul(add(3.956975266658519, child_visit_count), sqrt(child_visit_count))), sqrt(truediv(sqrt(truediv(mul(child_win_score, total_number_of_available_moves), 10.832156640643912)), truediv(add(0.2834911201998016, truediv(1.4805422989013817, current_visit_count)), 4.309593836256966)))), 0.5546543327961148));(1902.0,)
mul(29.913005508123796, sqrt(truediv(child_visit_count, sqrt(child_win_score))));(1764.8,)
add(sqrt(mul(add(truediv(1.2894654267603, truediv(child_win_score, current_visit_count)), 5.036257451173796), mul(child_visit_count, 9.438469134800883))), 1.2894654267603);(1763.5999999999999,)
