Game_Id, Turn_#, Agent, Points, Time_Limit, Move_Made, List_Of_Moves
ec99144a-d6ca-47ac-a6e3-679578192d4b,11,Random,960,0,"((2, 3), (2, 4))","{(2, 3): [(2, 4)], (2, 1): [(3, 1)], (0, 3): [(0, 4)]}","[[ 19   3   3  61  19 199  61]
 [163   3   3  61 199  61   3]
 [ 19 163  43  43   3  19  19]
 [ 61   3 199  19   3  43  61]
 [199  19 163  61  19   3  43]
 [ 43   3 163 199  43  61 163]
 [ 61  43  61  19  43 163 199]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,12,Random,1440,0,"((4, 4), (4, 5))","{(4, 4): [(4, 5)], (2, 1): [(3, 1)]}","[[ 19   3  19 163   3   3  61]
 [163   3   3  43  43  61   3]
 [ 19 163   3  61 163  19  19]
 [ 61   3 199  19  19  43  61]
 [199  19 163  61 199  19  43]
 [ 43   3 163 199  43  61 163]
 [ 61  43  61  19  43 163 199]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,13,Random,1500,0,"((0, 6), (1, 6))","{(0, 6): [(1, 6)], (2, 1): [(2, 2), (3, 1)], (0, 2): [(0, 1)], (3, 2): [(3, 1)], (2, 4): [(3, 4)], (2, 5): [(3, 5)], (3, 4): [(3, 5)], (3, 5): [(4, 5)]}","[[ 19   3  19 163  43  19  61]
 [163   3   3  43  43  61  61]
 [ 19 163   3  61 163  19  19]
 [ 61   3 199  19  19  43  61]
 [199  19 163  61 199  19  43]
 [ 43   3 163 199  43  61 163]
 [ 61  43  61  19  43 163 199]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,14,Random,1680,0,"((0, 2), (0, 1))","{(2, 1): [(2, 2), (3, 1)], (0, 2): [(0, 1)], (3, 2): [(3, 1)], (2, 4): [(3, 4)], (2, 5): [(3, 5)], (3, 4): [(3, 5)], (3, 5): [(4, 5)], (2, 6): [(3, 6)]}","[[ 61  19 163 163  43  19  61]
 [163   3  19  43  43  61  61]
 [ 19 163   3  61 163  19  19]
 [ 61   3 199  19  19  43  61]
 [199  19 163  61 199  19  43]
 [ 43   3 163 199  43  61 163]
 [ 61  43  61  19  43 163 199]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,15,Random,1740,0,"((3, 4), (3, 5))","{(2, 1): [(2, 2)], (2, 4): [(3, 4)], (2, 5): [(3, 5)], (3, 4): [(3, 5)], (3, 5): [(4, 5)], (2, 6): [(3, 6)]}","[[ 61  19 163 163  43  61  61]
 [163   3  19  43  43 199  61]
 [ 19 163   3  61 163 199  19]
 [ 61   3 199  19  43  19  61]
 [199  19 163  61 199  61  43]
 [ 43   3 163 199  43  61 163]
 [ 61  43  61  19  43 163 199]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,16,Random,1800,0,"((2, 6), (3, 6))","{(2, 1): [(2, 2)], (3, 5): [(3, 6)], (2, 4): [(3, 4)], (2, 6): [(3, 6)], (3, 4): [(4, 4)]}","[[ 61  19 163 163  43  61  19]
 [163   3  19  43  43 199 163]
 [ 19 163   3  61 163 199  19]
 [ 61   3 199  19  43  19  19]
 [199  19 163  61 199  61  43]
 [ 43   3 163 199  43  61 163]
 [ 61  43  61  19  43 163 199]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,17,Random,1980,0,"((2, 4), (3, 4))","{(2, 1): [(2, 2)], (2, 4): [(3, 4)], (0, 6): [(1, 6)], (3, 4): [(4, 4)], (3, 3): [(3, 4)]}","[[ 61  19  61  19  43  61  19]
 [163   3  19  43 163 199 163]
 [ 19 163   3  61  19 199  19]
 [ 61   3 199  19 163  19  19]
 [199  19 163  61 199  61  43]
 [ 43   3 163 199  43  61 163]
 [ 61  43  61  19  43 163 199]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,18,Random,2040,0,"((0, 2), (1, 2))","{(0, 2): [(1, 2)], (2, 1): [(2, 2)], (2, 4): [(3, 4)], (2, 5): [(3, 5)], (0, 6): [(1, 6)], (3, 3): [(3, 4)]}","[[ 61  43   3 199  43  61  19]
 [163   3  61  43 163 199 163]
 [ 19 163   3  61  19 199  19]
 [ 61   3 199  19 163  19  19]
 [199  19 163  61 199  61  43]
 [ 43   3 163 199  43  61 163]
 [ 61  43  61  19  43 163 199]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,19,Random,2160,0,"((2, 4), (3, 4))","{(1, 1): [(1, 2)], (2, 1): [(2, 2)], (2, 4): [(3, 4)], (2, 5): [(3, 5)], (0, 6): [(1, 6)], (3, 3): [(3, 4)]}","[[ 61  43   3  43  19   3   3]
 [163   3  61 199  43  61  19]
 [ 19 163   3  43 163 199 163]
 [ 61   3 199  61 163 199  19]
 [199  19 163  61 199  61  43]
 [ 43   3 163 199  43  61 163]
 [ 61  43  61  19  43 163 199]]"
7abff277-7a77-4061-b964-bfd2d65f4920,0,MCTS,600,1,"((1, 3), (2, 3))","{(0, 2): [(1, 2)], (0, 1): [(0, 2)], (1, 3): [(2, 3)], (2, 5): [(3, 5)], (2, 1): [(3, 1), (2, 0), (2, 2)], (2, 4): [(2, 5)], (5, 4): [(6, 4)], (5, 2): [(5, 3)]}","[[ 61   3  19  61 163  19 199]
 [199 199   3 163 199 199 163]
 [ 19  43   3   3 163  43  19]
 [  3  19 199  61  43   3  43]
 [163  19 163 199  43  61  19]
 [163 199   3 163   3   3 199]
 [ 61 199  61  19  43 163  19]]"
